Sample,Strain,Species,mBiofilmOD,sdBiofilmOD,mPlanktonicOD,sdPlanktonicOD
C0093B3.3A1.B,C0093B3,Gardnerella piotii,0.1309375,0.00763762615825974,0.15645833333333334,0.014422205101855955
C0093B3.3A3.A,C0093B3,Gardnerella piotii,0.07293750000000002,0.011503622617824939,0.20545833333333333,0.008717797887081356
C0093B3.3A3.B,C0093B3,Gardnerella piotii,0.13793750000000002,0.0025166114784235852,0.20479166666666665,0.013316656236958798
C0096A1.2A1.A,C0096A1,Gardnerella leopoldii,0.042604166666666665,0.013650396819628846,0,0
C0096A1.2A1.B,C0096A1,Gardnerella leopoldii,0.06260416666666667,0.008621678104251712,0,0
C0096A1.2A2.B,C0096A1,Gardnerella leopoldii,0.14127083333333335,0.0014142135623730963,0.16145833333333331,0.016970562748477136
C0096A1.2A3.B,C0096A1,Gardnerella leopoldii,0.13893750000000002,0.020550750189064472,0.013791666666666667,0.0025166114784235818
C0100B2.1A1.A,C0100B2,Gardnerella sp. 10,0.19027083333333333,0.008544003745317526,0.033125,0.017473789896108212
C0100B2.1A2.A,C0100B2,Gardnerella sp. 10,0.22927083333333334,0.005567764362829997,0.03912500000000001,5.773502691896263e-4
C0100B2.1A2.B,C0100B2,Gardnerella sp. 10,0.2046041666666667,0.02731910198621715,0.01879166666666667,5.773502691896262e-4
C0100B2.1AB4.A,C0100B2,Gardnerella sp. 10,0.13727083333333334,0.006557438524302007,0.039125,0.012096831541082698
C0100B2.1AB4.B,C0100B2,Gardnerella sp. 10,0.12827083333333333,0.008185352771872443,0.031125000000000003,0.014843629385474877
C0101A1.3A1.A,C0101A1,Gardnerella sp. 11,0.17360416666666667,0.03888873015840622,0.01679166666666667,0.00404145188432738
C0101A1.3A1.B,C0101A1,Gardnerella sp. 11,0.1019375,0.011503622617824942,0.04345833333333333,0
C0101A1.3A2.A,C0101A1,Gardnerella sp. 11,0.22993750000000002,0.006350852961085857,0.060458333333333336,0.012489995996796803
C0101A1.3A2.B,C0101A1,Gardnerella sp. 11,0.07993750000000001,0.017009801096230764,0.12945833333333334,0.024515301344262535
C0102A2.1A1.A,C0102A2,Gardnerella swidsinskii,0.29227083333333337,0.021517434791350005,0.09045833333333332,0.010583005244258361
C0102A2.1A2.A,C0102A2,Gardnerella swidsinskii,0.17060416666666667,0.010115993936995688,0.042458333333333334,0.007211102550927977
C0102A2.1AB3.A,C0102A2,Gardnerella swidsinskii,0.20093750000000002,0.006506407098647717,0.025125000000000005,0.013428824718989126
C0102A2.1AB3.B,C0102A2,Gardnerella swidsinskii,0.21127083333333335,0.008000000000000007,0.024458333333333335,0.005567764362830021
C0179B4.1AB3.A,C0179B4,Gardnerella sp. 7,0.19893750000000002,0.026274195198584753,0.07545833333333334,0.006082762530298209
C0179B4.1AB3.B,C0179B4,Gardnerella sp. 7,0.16993750000000002,0.037634204300520745,0.08745833333333333,0.0020000000000000018
C0179B4.1B1.A,C0179B4,Gardnerella sp. 7,0.3736041666666667,0.0413561764834871,0.06745833333333334,0.006244997998398408
C0179B4.1B1.B,C0179B4,Gardnerella sp. 7,0.4332708333333333,0.047507894080878826,0.058125,0.010503967504392493
C0179B4.1B2.A,C0179B4,Gardnerella sp. 7,0.3046041666666667,0.0045092497528228985,0.043125,0.0025166114784235783
C0179B4.1B2.B,C0179B4,Gardnerella sp. 7,0.35060416666666666,0.016563010998406447,0.03245833333333333,0.0036055512754639926
CMW7778B.2A3.B,CMW7778B,Gardnerella sp. 12,0.04610416666666667,0.0069402209378856715,0.12329166666666666,0.022319647547993825
Gv101.1B1.A,Gv101,Gardnerella greenwoodii,0.15260416666666668,0.01069267662156362,0.17979166666666666,0.010115993936995688
Gv101.1B1.B,Gv101,Gardnerella greenwoodii,0.25193750000000004,0.02182506204649446,0.12979166666666667,0.006806859285554036
Gv101.1B2.A,Gv101,Gardnerella greenwoodii,0.10260416666666668,0.013316656236958782,0.193125,0.008386497083606075
Gv101.1B2.B,Gv101,Gardnerella greenwoodii,0.14960416666666668,0.010598742063723094,0.17079166666666665,0.012858201014657285
Gv5-1.1B2.A,Gv5-1,Gardnerella swidsinskii,0.17927083333333335,0.01769180601295413,0.043458333333333335,0.018734993995195195
JCP7275.1AB4.A,JCP7275,Gardnerella lacydonensis,0.035937500000000004,0.004725815626252605,0.06679166666666667,0.02715388247255507
JCP8017B.1A1.A,JCP8017B,Gardnerella pickettii,0.1619375,0.019139836293274128,0.14979166666666666,0.03450120770833006
JCP8017B.1A1.B,JCP8017B,Gardnerella pickettii,0.20027083333333334,0.01228820572744452,0.11512499999999999,0.00850490054811539
JCP8017B.1A2.A,JCP8017B,Gardnerella pickettii,0.1929375,0.0041633319989322695,0.07845833333333334,0.006082762530298215
JCP8017B.1A2.B,JCP8017B,Gardnerella pickettii,0.16927083333333334,0.006928203230275515,0.07345833333333333,0.006928203230275499
JCP8066.1A1.A,JCP8066,Gardnerella piotii,0.2429375,0.02182506204649446,0.025458333333333333,0.017349351572897468
JCP8066.1A1.B,JCP8066,Gardnerella piotii,0.23093750000000002,0.04400378771575618,0.020458333333333335,0.004358898943540678
JCP8108.1AB3.A,JCP8108,Gardnerella lacydonensis,0.08793750000000002,0.007234178138070225,0.08679166666666667,0.010066445913694341
JCP8108.1AB3.B,JCP8108,Gardnerella lacydonensis,0.09960416666666667,0.006027713773341713,0.09712499999999999,0.01357694123627753
JCP8108.1AB4.A,JCP8108,Gardnerella lacydonensis,0.08627083333333334,0.012165525060596434,0.089125,0.009865765724632488
JCP8108.1AB4.B,JCP8108,Gardnerella lacydonensis,0.08793750000000002,0.006350852961085874,0.08079166666666666,0.009291573243177562
JCP8108.1B1.B,JCP8108,Gardnerella lacydonensis,0.19627083333333334,0.02402082429892864,0.015458333333333336,0.0043588989435406735
UM224.1A1.B,UM224,Gardnerella swidsinskii,0.11693750000000001,0.01939931270260195,0.025125,0.015011106998930277
UM224.1A2.A,UM224,Gardnerella swidsinskii,0.20860416666666667,0.010066445913694341,0.055125,0.008621678104251712
UM35.3A1.A,UM35,Gardnerella piotii,0.14827083333333335,0.01802775637731995,0.021125,0.014153915830374765
UM35.3A3.A,UM35,Gardnerella piotii,0.08593750000000001,0.01562903281289878,0.07529166666666666,0.03082477358662455
